# REM-INV-4A LIVE policies referencing auth helpers 2026-09-13T15:14:33.726Z (n=168)
schema	table	policy	permissive	roles	command	qual	with_check
public	tenants	tenants_select_own_or_store_member	PERMISSIVE	{authenticated}	SELECT	(is_admin() OR (EXISTS ( SELECT 1 |    FROM profiles p |   WHERE ((p.id = auth.uid()) AND (p.tenant_id = tenants.id)))) OR (EXISTS ( SELECT 1 |    FROM (user_store_memberships m |      JOIN stores s ON ((s.id = m.store_id))) |   WHERE ((m.user_id = auth.uid()) AND ((m.status)::text = 'active'::text) AND (s.tenant_id = tenants.id)))))	
public	tenants	tenants_update_own_or_admin	PERMISSIVE	{authenticated}	UPDATE	(is_admin() OR (owner_id = auth.uid()))	(is_admin() OR (owner_id = auth.uid()))
public	transaction_item_lots	tx_lots_select	PERMISSIVE	{authenticated}	SELECT	(EXISTS ( SELECT 1 |    FROM (transaction_items ti |      JOIN transactions t ON ((t.id = ti.transaction_id))) |   WHERE ((ti.id = transaction_item_lots.transaction_item_id) AND has_store_access(t.store_id))))	
public	transaction_items	Transaction items select	PERMISSIVE	{authenticated}	SELECT	(EXISTS ( SELECT 1 |    FROM transactions t |   WHERE ((t.id = transaction_items.transaction_id) AND ((t.seller_id = ( SELECT auth.uid() AS uid)) OR has_store_access(t.store_id)))))	
public	transactions	transactions_tenant_delete	PERMISSIVE	{authenticated}	DELETE	 | CASE |     WHEN (current_setting('app.use_tenant_rls'::text, true) = 'true'::text) THEN ((tenant_id = current_user_tenant_id()) AND is_admin()) |     ELSE is_admin() | END	
public	transactions	transactions_tenant_insert_with_check	PERMISSIVE	{authenticated}	INSERT		((tenant_id = current_user_tenant_id()) AND (store_id = ANY (current_user_store_ids())))
public	transactions	transactions_tenant_select	PERMISSIVE	{authenticated}	SELECT	 | CASE |     WHEN (current_setting('app.use_tenant_rls'::text, true) = 'true'::text) THEN ((tenant_id = current_user_tenant_id()) AND (is_admin() OR (store_id = ANY (current_user_store_ids())))) |     ELSE (is_admin() OR has_store_access(store_id)) | END	
public	transactions	transactions_tenant_update	PERMISSIVE	{authenticated}	UPDATE	 | CASE |     WHEN (current_setting('app.use_tenant_rls'::text, true) = 'true'::text) THEN ((tenant_id = current_user_tenant_id()) AND (is_admin() OR (store_id = ANY (current_user_store_ids())))) |     ELSE (is_admin() OR has_store_access(store_id)) | END	
public	transfer_approval_rules	transfer_approval_rules_tenant_select	PERMISSIVE	{authenticated}	SELECT	 | CASE |     WHEN (current_setting('app.use_tenant_rls'::text, true) = 'true'::text) THEN ((tenant_id = current_user_tenant_id()) AND is_admin()) |     ELSE (is_admin() OR is_global_admin()) | END	
public	transfer_items	transfer_items_insert_v2	PERMISSIVE	{public}	INSERT		(EXISTS ( SELECT 1 |    FROM transfers t |   WHERE ((t.id = transfer_items.transfer_id) AND (has_store_access(t.origin_store_id) OR has_store_access(t.destination_store_id)))))
public	transfer_items	transfer_items_view_v2	PERMISSIVE	{public}	SELECT	(EXISTS ( SELECT 1 |    FROM transfers t |   WHERE ((t.id = transfer_items.transfer_id) AND (has_store_access(t.origin_store_id) OR has_store_access(t.destination_store_id)))))	
